Date,Open,High,Low,Close,Adj Close,Volume
2018-04-18,1077.430054,1077.430054,1066.224976,1072.079956,1072.079956,1344100
2018-04-19,1069.400024,1094.165039,1068.180054,1087.699951,1087.699951,1747700
2018-04-20,1082.000000,1092.349976,1069.569946,1072.959961,1072.959961,1889700
2018-04-23,1077.859985,1082.719971,1060.699951,1067.449951,1067.449951,2341300
2018-04-24,1052.000000,1057.000000,1010.590027,1019.979980,1019.979980,4760300
2018-04-25,1025.520020,1032.489990,1015.309998,1021.179993,1021.179993,2391100
2018-04-26,1029.510010,1047.979980,1018.190002,1040.040039,1040.040039,2079500
2018-04-27,1046.000000,1049.500000,1025.589966,1030.050049,1030.050049,1619800
2018-04-30,1030.010010,1037.000000,1016.849976,1017.330017,1017.330017,1671300
2018-05-01,1013.659973,1038.469971,1008.210022,1037.310059,1037.310059,1427900
2018-05-02,1028.099976,1040.389038,1022.869995,1024.380005,1024.380005,1603100
2018-05-03,1019.000000,1029.675049,1006.289978,1023.719971,1023.719971,1815100
2018-05-04,1016.900024,1048.510010,1016.900024,1048.209961,1048.209961,1938700
2018-05-07,1049.229980,1061.680054,1047.099976,1054.790039,1054.790039,1466100
2018-05-08,1058.540039,1060.550049,1047.145020,1053.910034,1053.910034,1217700
2018-05-09,1058.099976,1085.439941,1056.364990,1082.760010,1082.760010,2032800
2018-05-10,1086.030029,1100.439941,1085.640015,1097.569946,1097.569946,1443000
2018-05-11,1093.599976,1101.329956,1090.910034,1098.260010,1098.260010,1253700
2018-05-14,1100.000000,1110.750000,1099.109985,1100.199951,1100.199951,1518100
2018-05-15,1090.000000,1090.050049,1073.469971,1079.229980,1079.229980,1494900
2018-05-16,1077.310059,1089.270020,1076.260010,1081.770020,1081.770020,1097300
2018-05-17,1079.890015,1086.869995,1073.500000,1078.589966,1078.589966,1026700
2018-05-17,1079.890015,1086.869995,1073.500000,1078.589966,1078.589966,1026700
2018-05-17,1079.890015,1086.869995,1073.500000,1078.589966,1078.589966,1026700
2018-05-17,1079.890015,1086.869995,1073.500000,1078.589966,1078.589966,1026700
2018-05-17,1079.890015,1086.869995,1073.500000,1078.589966,1078.589966,1026700
2018-05-17,1079.890015,1086.869995,1073.500000,1078.589966,1078.589966,1026700
